Phone Number,Name,Email,PremiumPoints
7224096333,Ahmed Khan,ahmedkhan123@gmail.com,2
9993091164,Fariha Khan,farihakhan09@gmail.com,0
123456789,Mohammad Ali,ali.mohammad@gmail.com,4
Phone Number,Name,Email,PremiumPoints
9780788073,Usman Shahid,usman@iith.ac.in,6
Phone Number,Name,Email,PremiumPoints
7307808605,Usman Ali,usmanali22@gmail.com,6
Phone Number,Name,Email,PremiumPoints
9420749375,Arif Malik,arifmalik@gmail.com,0
Phone Number,Name,Email,PremiumPoints
6260284389,Faisal Qureshi,faisalq@gmail.com,0
Phone Number,Name,Email,PremiumPoints
987654321,Imran Khan,imrankhan@gmai.com,0
Phone Number,Name,Email,PremiumPoints
9876543210,Ali Shah,alishah@gmail.com,4
Phone Number,Name,Email,PremiumPoints
7854937589,Ahmad Raza,ahmadraza@gmail.com,0
Phone Number,Name,Email,PremiumPoints
03452299514,Bilal Khan,bilalkhan654@gmail.com,3
Phone Number,Name,Email,PremiumPoints
034293u3-9,Rehan Kazmi,rehan.kazmi@gmail.com,0
